# ARES Matrix v3.0 FINAL | 110 Compounds | OTC + Rx + Peptide | Full Scientific Validation
name,category,impact_score,necessity_tier,evidence_level,protocol_phase,phase_0,phase_1,phase_2,phase_3,ctx_true_natural,ctx_enhanced_no_trt,ctx_on_trt,ctx_on_glp1,goal_fat_loss,goal_muscle_gain,goal_recomposition,goal_maintenance,goal_longevity,goal_performance,goal_cognitive,goal_sleep,goal_gut_health,cal_in_deficit,cal_in_surplus,demo_age_over_40,demo_age_over_50,demo_age_over_60,demo_is_male,demo_is_female,pep_gh_secretagogue,pep_healing,pep_longevity,pep_nootropic,pep_metabolic,pep_immune,pep_testo,pep_skin,bw_cortisol_high,bw_testosterone_low,bw_vitamin_d_low,bw_magnesium_low,bw_triglycerides_high,bw_inflammation_high,bw_glucose_high,bw_insulin_resistant,bw_hdl_low,bw_ldl_high,bw_apob_high,bw_ferritin_high,bw_homocysteine_high,bw_nad_low,bw_b12_low,bw_iron_low,bw_thyroid_slow,syn_retatrutide,syn_tirzepatide,syn_semaglutide,syn_epitalon,syn_mots_c,syn_bpc_157,syn_tb_500,syn_cjc_1295,syn_ipamorelin,compound_class,rx_dosing_protocol,rx_monitoring_required,notes,peptide_route,peptide_half_life
SS-31 (Elamipretide),Peptide Mitochondrial,8.0,specialist,moderate,,,,,3.5,,,,,,,,,,,,,,,,,3.0,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"Cardiolipin binding, ATP↑, ROS↓. Phase 3 trials (Barth, AMD). 10-40mg daily.",subcutaneous,
Epitalon,Peptide Longevity/Telomere,7.5,specialist,moderate,,,,,3.5,,,,,,,,,,,,,,,,,3.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,peptide,,,"Telomerase +33%. 1.6-1.8x mortality reduction (Russian). 5-10mg daily 10-20 days, 2x/year.",subcutaneous,
MK-677 (Ibutamoren),GH Secretagogue,7.5,specialist,moderate,,,,2.5,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"Oral GHS. GH peak +600%, IGF-1 +40%. 10-25mg daily. Watch: insulin resistance, water retention.",oral,24h
Ipamorelin,GHRP,7.0,specialist,moderate,,,,,,,,,,,2.5,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,peptide,,,Cleanest GHRP. No cortisol/prolactin spike. 100-300mcg 2-3x daily. Stack with CJC-1295.,subcutaneous,2h
CJC-1295 (no DAC),GHRH,7.0,specialist,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,peptide,,,GHRH analog. Increases GH pulse frequency. 100-200mcg 1-2x daily with Ipamorelin.,subcutaneous,30min
Tesamorelin,GHRH (FDA),7.5,specialist,strong,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"FDA-approved (lipodystrophy). 2mg daily. Reduces visceral fat, increases IGF-1.",subcutaneous,
Semax,Peptide Nootropic,7.0,specialist,moderate,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"BDNF +3x, TrkB +2x. Russian nootropic. 200-600mcg intranasal 2-3x daily. Anxiolytic.",intranasal,minutes
Selank,Peptide Anxiolytic,6.5,specialist,moderate,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,peptide,,,"Tuftsin analog. Anxiolytic, immune modulation. 250-500mcg intranasal 2-3x daily.",intranasal,
Sulforaphan,Detox/Nrf2,7.5,optimizer,strong,,,,,2.5,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,"Nrf2 master activator. Broccoli sprouts 10-100x höher. 30-60mg daily. Detox, cancer prevention.",,
Phosphatidylserin,Nootropic,7.0,optimizer,moderate,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,"Cortisol -30-39%, Memory improvement. FDA qualified claim. 200-400mg daily.",,
ALCAR (Acetyl-L-Carnitin),Mitochondrial/Nootropic,7.0,optimizer,moderate,,,,,,,,,,,,,,,,2.5,,,,,,2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,"Crosses BBB. Mitochondrial energy, acetylcholine precursor. 500-2000mg daily.",,
Selen,Mineralien,6.5,essential,strong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,"Thyroid essential, Glutathion-Peroxidase Cofaktor. 100-200mcg daily. Selenomethionin preferred.",,
Jod,Mineralien,6.0,essential,strong,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,Thyroid essential. Iodine deficiency common. 150-300mcg daily. Watch with thyroid conditions.,,
Lithium (low-dose),Neuroprotective,6.5,specialist,moderate,,,,,2.0,,,,,,,,,,,2.5,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,Neuroprotective at 1-5mg. GSK-3β inhibition. Lithium Orotate preferred. NOT therapeutic dose!,,
Kupfer,Mineralien,5.5,optimizer,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,"Collagen synthesis, SOD cofactor. 1-2mg daily. Balance with Zink (Zn:Cu 10-15:1).",,
5-HTP / Tryptophan,Schlaf,6.0,optimizer,moderate,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,Serotonin precursor. 50-200mg 5-HTP or 500-1000mg L-Tryptophan. Evening. Avoid with SSRIs!,,
